'snails	'con oc sen
floppy	dia mem
floran	he thuc vat
florescent	hinh trang khuyet
floret	no hoa
floriated	lam noi len
floriculture	nghe trong hoa
floriculturist	tho trong hoa
florid	tuoi nhu hoa
florida bean	dau florida
florification	su tao hoa
flos-ferri	mang hoa
floscularian	thuoc ve loai thuc vat
floscule	hoa nho
flossy	xia rang
flota	ham doi
flotery	lam hoa
flotten	troi noi
flounce	su hung thinh
flouring	nay no
flourish	hung thinh
flourisher	tho lam bot mi
flourishes	khoi sac
flourishingly	hung thinh
flowen	luu luong
flower-de-luce	hoa-de-luce
flower-fence	hang rao hoa
flower-gentle	nhe nhang hoa
flowerage	luu ly
flowerer	nguoi hoa
flowerful	day hoa
floweriness	su hoa my
flowering	ra hoa
flowerlessness	khong co hoa
flowerpot	chau hoa
flowingly	hoa le
floxed silk	lua to tam
fluence	su luu loat
fluently	thanh thao
fluentness	su troi chay
fluework	cong viec xay dung
fluidal	luu loat
fluidized	tang soi
fluinity	su mong manh
flunkies	nhung ke an cap vat
flunkydom	boi flunky
flunlyism	chu nghia phien dien
fluor spar	tiet kiem florua
fluorescin	huynh quang
fluoride	florua
fluorine	flo
fluoroscope	den soi huynh quang
fluosilicic	chat fluosilic
flurrying	lam soi noi
flushboard	van phang
flusher	nuoc xa
flushing	do bung mat
flushingly	do bung
flushness	su do bung
flusteration	su tuon ra
flustrate	trong tieng thi tham
fluting	thoi bung
flutter	chop canh
flutterer	nguoi bay luon
fluvialist	nguoi theo chu nghia luu loat
fluvio-marine	song-bien
fluxibility	thong luong
fluxible	co the thay doi duoc
fluxing	tuon ra
fluxionary	truyen giao
fluxionist	nguoi theo chu nghia thong minh
fly-bitten	bi ruoi can
fly-case	hop dung ruoi
fly-catching	bat ruoi
flyboat	thuyen bay
flycatcher	nguoi bat ruoi
flyfish	ca ruoi
flying squirrel	soc bay
flyman	nguoi bay
flymen	chuyen bay
flyspeck	thong so chuyen bay
flytrap	cay bat ruoi
fnese	trung quoc
foal	con ngua con
foaled	ngua con
foaming	tao bot
foamless	khong bot
focal	dau moi
focimeter	dong ho bong da
focusing	tap trung
fodderer	nguon cap du lieu
fodient	ho se dao
foetation	mong chan
foetus	thai nhi
fogless	khong co suong mu
fogy	no sap het
fogyism	thuyet lua dao
foilable	co the trang duoc
foinery	trai chan nuoi gia suc
foison	doi dao
folder	thu muc
folderol	gap nep
foldless	khong gap
foliose	trong foos
folious	co nhieu la
folk	dan gian
folkland	vung dat dan gian
folklore	van hoc dan gian
folkmoter	thoi trang dan gian
folliculated	co nang
folliculous	viem nang long
followed	theo sau
fomentation	su boi dap
fomenting	boi bo
fon	lai lich
fonde	dua tren
fondler	nguoi mon tron
fondling	mon tron
fontal	net chu
fontanel	thop
fontanelle	dai phun nuoc uong
foodful	thuc an
foodless	khong co thuc an
fool-born	sinh ra ngu ngoc
fool-large	qua lon
foolhardihood	cac cuoc tan cong ngu ngoc
foot	ban chan
foot guards	bao ve chan
football	bong da
footband	day buoc chan
footbath	bon rua chan
footbreadth	be rong chan
footbridge	cau di bo
footcloth	khan trai chan
footglove	bao chan
foothalt	tu chan
foothill	chan doc
foothook	cai moc chan
footing	dat chan len
footless	khong chan
footlicker	khoa chan
footlight	chan den
footmanship	tay nghe chan
footpad	dem chan
footplate	tam lot chan
footprint	dau chan
footstep	buoc chan
footstone	da chan
footstool	be buoc chan
footway	loi di bo
forager	nguoi kiem an
foraminated	kiem an
forbare	chuan bi cac
forbathe	cam tam
forbearance	su nhan nai
forbearer	nguoi nhan nai
forbearing	doc doan
forbiddenly	bi cam doan
forbidder	nguoi cam doan
forbore	khoan truoc
forborne	con dau long
force pump	bom luc
forceless	vo luc
forcemeat	ep
forcible-feeble	cuong buc-yeu duoi
forcibleness	su cuong buc
forcipal	thanh pho
forcipate	voi kep
forcipated	duoc giai phong
forcipation	su giai thoat
fordable	co the tranh duoc
fordrive	truc xuat
fordrunken	chet duoi
fore tooth	rang truoc
fore-night	dem truoc
fore-topsail	mai truoc
forealleged	bi cao buoc truoc
forealleging	bai thuyet trinh
forebodingly	dang bao truoc
forebrace	co tay truoc
forebrain	nao truoc
forecaster	nguoi du bao
forechosen	bao truoc tran chien dau tien
foreclosed	tich bien
foreclosure	tich thu nha
foredesign	thiet ke truoc
foredetermine	cuoc hen truoc
forefeel	cam thay truoc
forefinger	ngon tro
foreflow	dong chay truoc
forefoot	ban chan truoc
foregame	man dao dau
foreganger	tien le
foregather	long chim
foreground	van de xung quanh
foregut	phan truoc
forehew	tien nu
foreignism	chu nghia ngoai lai
forejudge	doan truoc
forejudgment	su doan truoc
forelay	lop phu truoc
forelend	to tien
forelet	tien than
forelie	nen truoc
forelock	khoa tien
forelook	du bao
foremen	doc cong
forementioned	da noi truoc
foremilk	sua ngoai
foremost	quan trong nhat
foremostly	truoc het
foremother	me de
forename	ten
forenamed	duoc dat ten truoc
forensal	chan truoc
forensical	phap y
foreordain	tien de
forepossessed	danh gia truoc
forequoted	dinh truoc
foreran	mat truoc
forerank	quyen uu tien
foreread	doc truoc
foreright	duoc roi
forerunner	tien nhan
foreseer	nguoi biet truoc
foreshadow	diem bao truoc
foreshew	diem bao
foreshot	anh chup truoc
foreshower	nguoi bao truoc
foreskin	bao quy dau
foresleeve	nguoi di truoc
foreslow	di truoc
forespeaking	noi truoc
forestaller	nguoi bao ve rung
forester	linh kiem lam
forestick	que cuu hoa
foretaste	nem truoc
foretaster	cam ket
foreteller	nguoi noi truoc
forethought	tinh toan can than
foretoken	doanh nghiep
forewent 2	da thay truoc 2
forewit	thay truoc
forewiting	su bao truoc
forewoman	nu doc cong
foreword	loi tua
foreyard	san truoc
forfeited	bi tuoc doat
forfeiter	nguoi mat tien
forgave	da tha thu
forget-me-not	xin dung quen toi
forgetful	dang tri
forgettable	dang quen
forgetter	nguoi hay quen
forgettingly	hay quen
forgive	tha loi
forgiven	duoc tha thu
forgiveness	su tha thu
forgiver	nguoi tha thu
forgotten	bi lang quen
forisfamiliate	ben ngoai gia dinh
forked	nga ba
forkless	cai trang
forlaft	bi bo roi
forlend	mien ngoai
forlese	doc truoc
forlet	choi bo
forlore	su ren luyen
forlorn	het hy vong
forlornness	su tan nhan
formaldehyde	fomandehit
formalism	chu nghia hinh thuc
formalist	nguoi theo chu nghia hinh thuc
formalizing	chinh thuc hoa
formerly	truoc kia
formidably	ghe gom
formulary	danh muc thuoc
formulating	xay dung
formulized	cong thuc hoa
formulizing	xay dung cong thuc
fornical	ren duc
fornices	ham chua
forsaken	su choi bo
forsaking	bo roi
forsay	de noi
forslugge	ket thuc truoc
forspent	ung suat truoc
forthcoming	sap toi
forthgoing	di ra
fortilage	thu loi
fortissimo	rat manh
fortitude	su cuong trang
fortnightly	hai tuan mot lan
fortresses	phao dai
fortunately	that may man
fortune	van may
forty-spot	bon muoi cho
forums	dien dan
forward	o dang truoc
forwarder	nguoi giao nhan
forwardly	ve phia truoc
forwardness	su cau tien
forwent	da trai qua
forwhy	vi sao
forworn	bi mon
foryelde	mac dinh
foryete	cong ty
foryetten	tien do
forzando	ep buoc
fossette	ma lum dong tien
fossilism	thuyet hoa thach
fossilist	nha hoa thach
fossulate	hoa thach
fothering	theo duoi
fougasse	focaccia
fought	da chien dau
foughten	chien dau
foul-mouthed	hoi mieng
fouled	pham loi
fouling	lam ban
foulness	hoi cua
foundationless	khong co nen tang
foundering	sang lap
foundress	nguoi sang lap
foundry	xuong duc
fountain	dai phun nuoc
fountainless	dai phun nuoc
fountful	co nhieu nuoc
four-cornered	bon goc
four-in-hand	xe bon ngua
four-o'clock	bon gio
four-way	bon cach
four-wheeler	bon banh
fourgon	xe van
fourhanded	bon tay
fourierism	chu nghia tim kiem
fourling	bon con
fourpence	bon phan tram
fourscore	diem bon
fourteenth	thu muoi bon
foussa	fawzy
fouter	nguoi di sau
fowl	con ga
fowler's solution	giai phap cua fowler
fowling	ga con
fox-hunting	san cao
foxearth	mat cao
foxfish	ca cao
foxglove	bao tay cao
foxhound	cho san cao
foxiness	cao gia
foxlike	giong cao
foxtail	duoi chon
foyer	tien sanh
fozy	phos
fracas	cuoc au da
fracid	quai go
fractionally	mot phan nho
fracturing	gay xuong
fraenula	co be
fragmentariness	su roi rac
fragmented	phan manh
fragmentist	nguoi phan manh
fragor	din
fraight	khung tranh
frailness	su yeu duoi
fraischeur	trong lanh hon
franchised	duoc nhuong quyen
franchising	nhuong quyen thuong mai
francic	tieng francic
frangible	de vo
frangipanni	hoa su
frangulinic	hoa van
franion	thang than
frank-chase	thang than duoi theo
frank-fee	phi thang than
frank-law	luat thang than
frank-marriage	hon nhan thang than
frankfort black	frankfort den
franklin stove	bep lo franklin
frankness	su thang than
frater	anh trai
fraternal	huynh de
fraternate	tinh nguoi
fraternism	chu nghia anh em
fraternity	tinh huynh de
fraternization	tinh anh em
fraternized	da thanh hoa
fratricide	huynh de tuong tan
fraudulency	gian doi
fraughting	dong khung
fraunhofer lines	dong fraunhofer
freckling	tan nhang
freckly	co tan nhang
free will	y chi tu do
free-hand	ranh tay
free-liver	gan tu do
free-living	song tu do
free-love	tinh yeu tu do
free-lover	nguoi yeu tu do
free-milling	phay tu do
free-minded	dau oc ranh roi
free-soil	dat tu do
free-spoken	noi tu do
free-swimming	boi tu do
freebooting	khoi dong mien phi
freedmen	nhung nguoi giai phong
freedstool	phan thu sau
freeholder	chu mien phi
freelte	lam nghe tu do
freemasonry	khoi tu do
freemen	nguoi tu do
freer	tu do hon
freestone	da tu do
freethinking	suy nghi tu do
freewill	mien phi
freezable	co the dong bang
freightage	cuoc phi van chuyen
freighted	van chuyen hang hoa
freighter	nguoi cho hang
fremd	ngoai quoc
french	nguoi phap
frenchism	chu nghia dien cuong
frenchmen	nguoi phap
frenum	chut
frequency	tan so
frequentness	su thuong xuyen
frescoes	bich hoa
frescoing	ve tranh tuong
freshes	lam tuoi
freshmanship	tay nghe moi
freshmen	sinh vien nam nhat
freshment	giai khat
freshness	su tuoi moi
fresnel lamp	den ong
fresnel lens	ong kinh moi
frible	vun
fricasseeing	ngam canh
fricative	xich mich
frictionless	khong ma sat
fridstol	ghe hoa binh
friend	ban be
friending	ket ban
friendless	khong co ban
friendly	than thien
friendship	huu nghi
frier	de xuat
frigate	khinh ham
frigate-built	tau khu truc nho duoc che tao
frigatoon	tieu doi
frighten	hoang so
frightless	khong so hai
frigidness	lanh gia
frigorifical	thuoc ve thuat ngu
frilling	xep nep
fringeless	khong co tua
fringilla	sinh thai
fripper	tau khu truc nho
fripperer	nguoi lan lon
friseur'	tho hot toc'
frisian	nguoi frisian
friskal	lan da khoe manh
frisked	moi lam
friskily'	vui mung '
frisking	lam dien dao
frist	duong gioi han
frisure	kieu toc
frithstool	antistool
fritillaria	diem xep
fritillary	xep hinh
fritinancy	su lanh dam
fritted	lam rau ri
fritter	chien lan bot
fritting	su rao ruc
frivolism	chu nghia phu phiem
frizzes	toc xoan
frizzing	lam xoan
frizzle	chien
frizzler	nguoi lan tan
frogfish	ca ech
frogmouth	ech nhai
frogs-bit	ech-bit
frogshell	vo ech
frolicking	no dua
fromward	tu phia truoc
frondation	su lam mo
fronded	bi mo
frondesce	khan lanh
frondlet	chiec khan choang
frons	vay lai
fronted	phia truoc
frontiersmen	linh bien phong
frontingly	truoc mat
frontispiece	mat tien
frontless	khong co mat truoc
frontlessly	truc dien
frontlet	cua truoc
fronton	o phia truoc
froppish	co hoi lanh
frost-bitten	cau xin suong gia
frostbite	te cong
frostfish	ca suong
frosting	phu suong gia
frostless	khong co suong gia
froterer	vai dui
frothily	mo suong
frothiness	co bot
frothless	khong co bot
frounce	su boi roi
frounceless	khong phien phuc
frowey	lanh cong
frowningly	cau may
frowy	khoai tay chien
frozenness	su dong cung
fructifying	thanh qua
fructure	co cau lai
frue vanner	ba vanner
frugalities	su thanh dam
frugivorous	an trai
fruiter	nguoi trong hoa qua
fruiterer	nguoi ban trai cay
fruiteries	cua hang trai cay
fruitful	co qua
fruitless	khong co qua
frumentarious	thanh dam
frumentation	hoa qua
frumenty	co nhieu trai cay
frumper	trai cay
frumpish	dam bac
frustrating	lam nan long
frustulent	ho da chia tay
frustum	mot manh
frutage	dau qua
fruticant	ho dang ban
fry	chien ran
frying	xao
ftiction	ma sat
fuchsine	hoa van anh
fudder	thuc an gia suc
fudge	tin gio chot
fudge wheel	banh xe fudge
fuel	nhien lieu
fueler	nguoi do xang
fugato	tron thoat
fugitiveness	su chay tron
fuglemen	nguoi chim
fuguist	nguoi chay tron
fuldble	ta day du
fulfiller	nguoi hoan thanh
fulfillment	su hoan thanh
fulgurant	choi sang
fulgurata	nhay may
full-blooded	day mau
full-bloomed	no ro
full-blown	toan luc
full-bottomed	day day
full-butt	mong day dan
full-drive	toan o
full-hearted	het long
full-hot	day nong bong
full-manned	co day du nguoi lai
full-orbed	day du giuong
full-sailed	day buom
full-winged	co canh day du
fulled	no ne
fuller	day hon
fulleries	diem tua
fulling	lam day
fullness	vien man
fulminant	nguoi cuoi cung
fulmination	su hoan toan
fulvous	sung man
fumeless	khong co khoi
fumidness	su boc mui
fumigatory	hun trung
fumitory	khoi mu mit
funambulate	xe leo nui
funambulatory	su rung dong
funambulist	nguoi phun suong
funambulo	toi di tren mot soi day
funambulus	nguoi di bo that chat
functionalize	chuc nang hoa
functionally	ve mat chuc nang
functionaries	chuc nang
functionate	hoat dong
functionless	khong co chuc nang
fundable	co the tim thay
fundholder	nha gay quy
funding	kinh phi
fundus	tien tai tro
funeration	tiep nhien lieu
funest	tai hai
funge	hanh vi
fungibles	do tieu dung
fungicide	thuoc diet nam
fungilliform	dang nam
fungivorous	giong nam
fungologist	nha nam hoc
fungology	nam hoc
fungous	co nam
funiculate	do xang
funnelform	hinh pheu
funny	vui
furbelowing	chay mau
furbishable	co the chai long
furbisher	tho lam long
furbishing	danh long
furcation	su tich tu
furcular	cai nia
furhelow	long thu
furies	chat dot
furile	disunfua
furl	long bong
furloughing	troc vay
furnace	lo lua
furnish	su tien nghi
furnished	trang bi
furnisher	nguoi cung cap do dac
furnishing	trang tri noi that
furnishment	su trang bi
furred	hoan nghinh
furring	lam long
furrowed	nhiu lai
furrowing	nhiu may
furthered	tien xa hon
furthermost	xa hon
furthest	xa nhat
fury	con gian
furzeling	lam day long
fuscation	su hoang mang
fusee	cau chi
fusel	than may bay
fusel oil	dau fusel
fusible	de chay ra
fusillading	lam tan chay
fusion	dung hop
fussing	quay ray
fussure	khe nut
fust	boc khoi
fusteric	hop the
fustet	cau lac bo
fustianist	nghe si mua hat
futurable	co the tuong lai
future	tuong lai
futureless	khong co tuong lai
futurely	trong tuong lai
futurist	nguoi theo chu nghia tuong lai
futurity	tuong lai
fuze	lam chay
fyrd	cai bang
fyrdung	khuyen mai
gabionnade	ro da
gablet	dau hoi ngoi nha
gadman	su coi giu
gager	loi hua
gagging	non khan
gaggled	bit mieng
gainable	co the dat duoc
gainer	nguoi tang
gaining	dat duoc
gainpain	nhan ve noi dau
gainsaid	che do diet chung
gainsay	duoc loi
gainsayer	nguoi co loi
gainsaying	thu duoc loi nhuan
gainsome	co loi
galapee tree	cay galapee
galaxies	thien ha
galaxy	ngan ha
gale	con loc
galeated	bi lao hoa
galei	da tiec
galenism	thoi ky nu tinh
galenist	nguoi theo chu nghia co xua
galericu-late	phong trung bay muon
galiot	ban co the
gallature	ga lang
gallego	galicia
galley-bird	galley-chim
galley-worm	sau rieng
gallicism	chu nghia hao hiep
gallicizing	phi ma
gallimaufries	phong trung bay
gallinule	tui mat
gallipoli oil	dau gallipoli
gallooned	duoc trang tri
galloper	nguoi phi nuoc dai
gallowses	gia treo co
galop	phi nuoc dai
galpe	trong cau chuyen
galvanist	nguoi ma kem
galvanizer	tho ma kem
galvanizing	ma kem
galvanologist	nha galvanologist
galvanometry	dien ke
galvanopuncture	galvanopjection
gambist	nguoi theo chu nghia co bac
gambler	con bac
gambling	bai bac
gambolling	co bac
game fowl	tro choi ga
gamecock	ga choi
gamekeeper	nguoi choi tro choi
gameless	khong danh bac
gaming	choi game
gammer	nguoi choi co bac
gammoned	co gam mau
gamogenesis	su phat sinh gamogenesis
gamopetalous	cac cap vo chong
gang-flower	gang-hoa
ganglionary	bang dang
ganglions	hach bach huyet
gangrene	hoai thu
gangrenous	co hach
gangue	bang nhom
ganister	nguoi cham soc da
gannister	tay sung
ganoidei	anh ay dang say sua
ganoidian	nguoi ganoid
gapeworm	sau buom
gar	o tat ca
garbler	nguoi suc mieng
gardenia	cay son chi
gardenless	khong co vuon
gardenly	trong vuon
gargalize	nut co chai
garmenture	may mac
garner	nha kho
garnering	thu duoc
garnierite	do trang tri
garnish	trinh bay
garnisher	nguoi trang tri
garnishment	su trang tri
garrisoning	don tru
garrulous	gia chuyen
gartered	bi cat xen
garvie	nhung cai dai
gas-burner	dau dot gas
gasifying	khi hoa
gasket	mieng dem
gaskins	bi ngo
gaslight	den xang
gasogen	nguon pixel
gasoline	xang
gasometer	may do khi
gasometrical	khi do
gasometry	do khi
gasoscope	may soi khi
gasping	tho hon hen
gassing	tao khi
gasteropod	dong vat chan dot
gastight	kin hoi
gastralgia	dau da day
gastriloquist	bac si da day
gastriloquous	thuoc ve da day
gastro-	da day-
gastroduodenal	da day ta trang
gastroduodenitis	viem da day
gastroenteritis	viem da day ruot
gastroepiploic	thuoc ve am thuc
gastrohysterotomy	giai phau da day
gastrology	khoa an uong
gastromalacia	chung nhuyen da day
gastronomer	nguoi nau an
gastronomist	nha am thuc
gastronomy	am thuc
gastrophrenic	thuoc kich thich da day
gastropodous	dong vat chan bung
gastroscopy	noi soi da day
gastrostege	nha hang
gastrotomy	cat da day
gastrovascular	da day ruot
gatehouse	cong nha
gateless	khong co thu thap
gatepost	cong rao
gatewise	cua ngo
gatherable	co the tap hop
gatherer	nguoi hai luom
gatten tree	cay lo
gaucherie	su kho xu
gaud-day	bo tot ngay
gaudily	cau ky
gaudiness	su loe loet
gaudless	khong cau ky
gauffering	do ni dong giay
gauging rod	que do
gauntry	gang to
gavel	cai bua
gavelet	dau hoi
gavelkind	ma dau hoi
gaverick	da tang
gaviae	cua niem vui
gawby	con bo tot
gawk	tro mat nhin
gawn	chung toi nhan duoc
gayal	bi thuong
gaydiang	cu nhu vay
gayeties	gts
gayness	tinh dong tinh
gaze	cai nhin
gazeebo	tieu dinh
gazehound	con cho san
gazelle	linh duong
gazement	su cham chu
gazer	khi ga
gazet	bao
gazette	cong bao
gazetteer	nguoi lam bao
gear	hop so
gecko	con tac ke
geckoes	tac ke
geeing	ham vui
geering	banh rang
geissler tube	ong geissler
geitonogamy	hon nhan lang gieng
gelable	co the ket dinh
gelatigenous	chat keo
gelatinating	lam sen set
gelatine	chat keo nau bang da
gelatiniferous	co keo
gelatinize	ho hoa
gelatinous	sen set
gelation	su ket dinh
geldable	co the han duoc
gelder-rose	gelder-hoa hong
gelidly	dang gel
gelidness	do set
geloscopy	soi keo
gelt	ap dung
geminy	song tu
gemitores	cua hang da quy
gems-horn	da quy-sung
gendarmes	hien binh
genealogist	nguoi viet gia pha
genearch	nha nghien cuu gen
generability	kha nang di truyen
generable	co the phat sinh
generality	tinh tong quat
generalizable	khai quat duoc
